ID,ABCD_Final,ABC_Final,ABC_Subclass,D,D_Score,R1_Proximity,R2_Proximity,R1_Contact,R2_Contact,R1_Resistance,R2_Resistance,R1_Avoidance,R2_Avoidance,Approach/Avoidance,Resistance/Disorganization,ContactInitiation_R1,ContactInitiation_R2,InfantInitialApproach_R1,InfantInitialApproach_R2,TimeHeld_R1,TimeHeld_2,ContactDuration_R1,ContactDuration_R2,Crying_R1,Crying_R2,InfantVelocityToward_R1,InfantVelocityToward_R2,InfantVelocityAway_R1,InfantVelocityAway_R2,MotherVelocityToward_R1,MotherVelocityToward_R2,MotherVelocityAway_R1,MotherVelocityAway_R2,MotherInitialApproach_R1,MotherInitialApproach_R2,MotherInitialApproach_overall,ContactInitiation_overall,InfantInitialApproach_overall,TimeHeld_overall,ContactDuration_overall,Crying_overall,InfantVelocityToward_overall,InfantVelocityAway_overall,MotherVelocityAway_overall,MotherVelocityToward_overall
74,2,2,B4,0,2.5,6,6,7,5,3,3,1,1,4,0.275667075,1,2,0.07040918,-0.158620281,104,172.76,197.68,174.8,0.020699287,0,0.081766239,0.090328221,-0.069853156,-0.077765794,0.078039464,0.087204355,-0.089546282,-0.095175592,7.90952293,8.112350514,8.010936722,1.5,-0.044105551,138.38,186.24,0.010349644,0.08572552,-0.073546772,-0.09230783,0.08256171
75,2,2,B3,0,2,7,6,4,4,1,1,1,1,3.5,-0.7283817,3,1,0.11495351,0.331714672,4.6,5.04,21.96,25.12,0.015258506,0.021960278,0.08340882,0.113997718,-0.087150914,-0.100814094,0.040402699,0.045588512,-0.048250437,-0.047679471,14.33173483,24.8977851,19.61475997,2,0.223334091,4.82,23.54,0.018609392,0.09826611,-0.093677561,-0.047970397,0.042885736
77,4,2,B2,1,6.5,1,4,1,3,1,2,3,1,1.166666667,0.287194096,5,12,0.007547301,0.104354411,0,0,96.72,92.32,0.007814007,0.011143887,0.044476055,0.058912036,-0.032089168,-0.05043183,0.060576749,0.061520715,-0.073442557,-0.075104812,16.75877627,12.90884068,14.83380848,8.5,0.055950856,0,94.52,0.009478947,0.05171547,-0.040598572,-0.074278352,0.061030488
78,1,1,A1,0,4,3,1,2,1,1,1,5,4,0,-0.366993591,7,0,0.051193713,-0.071956792,0,0,62.56,0,0.053645336,0.059139785,0.101509517,0.106185431,-0.130430439,-0.112812076,0.104588007,0.023119539,-0.082554902,-0.029546232,-6.232278964,-9.724241014,-7.978259989,3.5,-0.01038154,0,31.28,0.056392561,0.10393899,-0.122126093,-0.053992385,0.067544165
79,2,2,B2,0,4,1,6,2,5,1,1,4,1,1.833333333,-0.366993591,1,1,-0.008913536,0.233533313,0,8.72,1.64,52.64,0.022083215,0.005809171,0.0954582,0.105067428,-0.083876034,-0.086839313,0.037608472,0.041236496,-0.044412698,-0.053533677,2.898061679,1.412879704,2.155470692,1,0.112309889,4.36,27.14,0.013946193,0.09998615,-0.085324639,-0.048808373,0.039377553
81,2,2,B2,0,1,1,4,1,1,1,1,4,3,0.333333333,-0.909075755,0,2,-0.000151778,-0.006944122,0,0,0,11.8,0.017467024,0.121855185,0.030997842,0.033646782,-0.030703068,-0.030682786,0.041278302,0.049158201,-0.029547894,-0.040450784,13.79491729,14.22568047,14.01029888,1,-0.00354795,0,5.9,0.069661105,0.03233715,-0.030693098,-0.034824024,0.045455924
82,2,2,B4,0,1,4,4,4,7,1,5,1,3,2.833333333,-0.099265558,20,1,-0.002946747,0.001176005,10.68,86.16,140.8,179.96,0.00862363,0.027876223,0.042908864,0.057510788,-0.03902489,-0.05499994,0.059427835,0.062799439,-0.05569996,-0.064738538,22.53655272,27.50158215,25.01906744,10.5,-0.000885371,48.42,160.38,0.018249927,0.04989822,-0.046803902,-0.059815673,0.061157406
85,2,2,B2,0,2.5,1,6,1,4,1,1,2,3,1.5,-0.638034673,4,3,-0.02671992,-0.057049426,0,0,52,69.2,0.029365437,0.089912512,0.042246594,0.050831036,-0.043480892,-0.035710085,0.055842081,0.069465161,-0.042257783,-0.063857429,38.92984537,33.69941829,36.31463183,3.5,-0.041884673,0,60.6,0.059638975,0.04660355,-0.039396636,-0.053461639,0.06285436
87,2,2,B2,0,3,4,4,2,2,1,1,3,3,1.333333333,-0.547687646,12,2,-0.003334835,-0.00987282,0.24,0,39,24.04,0.017196025,0.003391473,0.074562921,0.055602505,-0.069120087,-0.052194632,0.0969468,0.039514913,-0.10261732,-0.042896163,38.39237881,16.57055825,27.48146853,7,-0.006603828,0.12,31.52,0.010293749,0.06512554,-0.061625289,-0.075558537,0.068716965
1001,4,3,D,1,5,4,6,3,4,3,5,1,1,2.833333333,1.132307311,4,10,0,0,0,21.48,7.08,97.64,0.090113573,0.119483127,0.128588906,0.162443078,-0.101348682,-0.173024147,0.080994619,0.075394342,-0.102592808,-0.073976256,47.22036407,3.513645734,25.3670049,7,0,10.74,52.36,0.10479835,0.14574864,-0.139169763,-0.087945967,0.078064434
